TimeKey,Date,Year,Quarter,Month,MonthName,Week,DayOfMonth,DayOfWeek,DayName,IsWeekend
1,1996-07-04 00:00:00,1996,3,7,July,27,4,3,Thursday,False
2,1996-07-05 00:00:00,1996,3,7,July,27,5,4,Friday,False
3,1996-07-08 00:00:00,1996,3,7,July,28,8,0,Monday,False
4,1996-07-09 00:00:00,1996,3,7,July,28,9,1,Tuesday,False
5,1996-07-10 00:00:00,1996,3,7,July,28,10,2,Wednesday,False
6,1996-07-11 00:00:00,1996,3,7,July,28,11,3,Thursday,False
7,1996-07-12 00:00:00,1996,3,7,July,28,12,4,Friday,False
8,1996-07-15 00:00:00,1996,3,7,July,29,15,0,Monday,False
9,1996-07-16 00:00:00,1996,3,7,July,29,16,1,Tuesday,False
10,1996-07-17 00:00:00,1996,3,7,July,29,17,2,Wednesday,False
11,1996-07-18 00:00:00,1996,3,7,July,29,18,3,Thursday,False
12,1996-07-19 00:00:00,1996,3,7,July,29,19,4,Friday,False
13,1996-07-22 00:00:00,1996,3,7,July,30,22,0,Monday,False
14,1996-07-23 00:00:00,1996,3,7,July,30,23,1,Tuesday,False
15,1996-07-24 00:00:00,1996,3,7,July,30,24,2,Wednesday,False
16,1996-07-25 00:00:00,1996,3,7,July,30,25,3,Thursday,False
17,1996-07-26 00:00:00,1996,3,7,July,30,26,4,Friday,False
18,1996-07-29 00:00:00,1996,3,7,July,31,29,0,Monday,False
19,1996-07-30 00:00:00,1996,3,7,July,31,30,1,Tuesday,False
20,1996-07-31 00:00:00,1996,3,7,July,31,31,2,Wednesday,False
21,1996-08-01 00:00:00,1996,3,8,August,31,1,3,Thursday,False
22,1996-08-02 00:00:00,1996,3,8,August,31,2,4,Friday,False
23,1996-08-05 00:00:00,1996,3,8,August,32,5,0,Monday,False
24,1996-08-06 00:00:00,1996,3,8,August,32,6,1,Tuesday,False
25,1996-08-07 00:00:00,1996,3,8,August,32,7,2,Wednesday,False
26,1996-08-08 00:00:00,1996,3,8,August,32,8,3,Thursday,False
27,1996-08-09 00:00:00,1996,3,8,August,32,9,4,Friday,False
28,1996-08-12 00:00:00,1996,3,8,August,33,12,0,Monday,False
29,1996-08-13 00:00:00,1996,3,8,August,33,13,1,Tuesday,False
30,1996-08-14 00:00:00,1996,3,8,August,33,14,2,Wednesday,False
31,1996-08-15 00:00:00,1996,3,8,August,33,15,3,Thursday,False
32,1996-08-16 00:00:00,1996,3,8,August,33,16,4,Friday,False
33,1996-08-19 00:00:00,1996,3,8,August,34,19,0,Monday,False
34,1996-08-20 00:00:00,1996,3,8,August,34,20,1,Tuesday,False
35,1996-08-21 00:00:00,1996,3,8,August,34,21,2,Wednesday,False
36,1996-08-22 00:00:00,1996,3,8,August,34,22,3,Thursday,False
37,1996-08-23 00:00:00,1996,3,8,August,34,23,4,Friday,False
38,1996-08-26 00:00:00,1996,3,8,August,35,26,0,Monday,False
39,1996-08-27 00:00:00,1996,3,8,August,35,27,1,Tuesday,False
40,1996-08-28 00:00:00,1996,3,8,August,35,28,2,Wednesday,False
41,1996-08-29 00:00:00,1996,3,8,August,35,29,3,Thursday,False
42,1996-08-30 00:00:00,1996,3,8,August,35,30,4,Friday,False
43,1996-09-02 00:00:00,1996,3,9,September,36,2,0,Monday,False
44,1996-09-03 00:00:00,1996,3,9,September,36,3,1,Tuesday,False
45,1996-09-04 00:00:00,1996,3,9,September,36,4,2,Wednesday,False
46,1996-09-05 00:00:00,1996,3,9,September,36,5,3,Thursday,False
47,1996-09-06 00:00:00,1996,3,9,September,36,6,4,Friday,False
48,1996-09-09 00:00:00,1996,3,9,September,37,9,0,Monday,False
49,1996-09-10 00:00:00,1996,3,9,September,37,10,1,Tuesday,False
50,1996-09-11 00:00:00,1996,3,9,September,37,11,2,Wednesday,False
51,1996-09-12 00:00:00,1996,3,9,September,37,12,3,Thursday,False
52,1996-09-13 00:00:00,1996,3,9,September,37,13,4,Friday,False
53,1996-09-16 00:00:00,1996,3,9,September,38,16,0,Monday,False
54,1996-09-17 00:00:00,1996,3,9,September,38,17,1,Tuesday,False
55,1996-09-18 00:00:00,1996,3,9,September,38,18,2,Wednesday,False
56,1996-09-19 00:00:00,1996,3,9,September,38,19,3,Thursday,False
57,1996-09-20 00:00:00,1996,3,9,September,38,20,4,Friday,False
58,1996-09-23 00:00:00,1996,3,9,September,39,23,0,Monday,False
59,1996-09-24 00:00:00,1996,3,9,September,39,24,1,Tuesday,False
60,1996-09-25 00:00:00,1996,3,9,September,39,25,2,Wednesday,False
61,1996-09-26 00:00:00,1996,3,9,September,39,26,3,Thursday,False
62,1996-09-27 00:00:00,1996,3,9,September,39,27,4,Friday,False
63,1996-09-30 00:00:00,1996,3,9,September,40,30,0,Monday,False
64,1996-10-01 00:00:00,1996,4,10,October,40,1,1,Tuesday,False
65,1996-10-02 00:00:00,1996,4,10,October,40,2,2,Wednesday,False
66,1996-10-03 00:00:00,1996,4,10,October,40,3,3,Thursday,False
67,1996-10-04 00:00:00,1996,4,10,October,40,4,4,Friday,False
68,1996-10-07 00:00:00,1996,4,10,October,41,7,0,Monday,False
69,1996-10-08 00:00:00,1996,4,10,October,41,8,1,Tuesday,False
70,1996-10-09 00:00:00,1996,4,10,October,41,9,2,Wednesday,False
71,1996-10-10 00:00:00,1996,4,10,October,41,10,3,Thursday,False
72,1996-10-11 00:00:00,1996,4,10,October,41,11,4,Friday,False
73,1996-10-14 00:00:00,1996,4,10,October,42,14,0,Monday,False
74,1996-10-15 00:00:00,1996,4,10,October,42,15,1,Tuesday,False
75,1996-10-16 00:00:00,1996,4,10,October,42,16,2,Wednesday,False
76,1996-10-17 00:00:00,1996,4,10,October,42,17,3,Thursday,False
77,1996-10-18 00:00:00,1996,4,10,October,42,18,4,Friday,False
78,1996-10-21 00:00:00,1996,4,10,October,43,21,0,Monday,False
79,1996-10-22 00:00:00,1996,4,10,October,43,22,1,Tuesday,False
80,1996-10-23 00:00:00,1996,4,10,October,43,23,2,Wednesday,False
81,1996-10-24 00:00:00,1996,4,10,October,43,24,3,Thursday,False
82,1996-10-25 00:00:00,1996,4,10,October,43,25,4,Friday,False
83,1996-10-28 00:00:00,1996,4,10,October,44,28,0,Monday,False
84,1996-10-29 00:00:00,1996,4,10,October,44,29,1,Tuesday,False
85,1996-10-30 00:00:00,1996,4,10,October,44,30,2,Wednesday,False
86,1996-10-31 00:00:00,1996,4,10,October,44,31,3,Thursday,False
87,1996-11-01 00:00:00,1996,4,11,November,44,1,4,Friday,False
88,1996-11-04 00:00:00,1996,4,11,November,45,4,0,Monday,False
89,1996-11-05 00:00:00,1996,4,11,November,45,5,1,Tuesday,False
90,1996-11-06 00:00:00,1996,4,11,November,45,6,2,Wednesday,False
91,1996-11-07 00:00:00,1996,4,11,November,45,7,3,Thursday,False
92,1996-11-08 00:00:00,1996,4,11,November,45,8,4,Friday,False
93,1996-11-11 00:00:00,1996,4,11,November,46,11,0,Monday,False
94,1996-11-12 00:00:00,1996,4,11,November,46,12,1,Tuesday,False
95,1996-11-13 00:00:00,1996,4,11,November,46,13,2,Wednesday,False
96,1996-11-14 00:00:00,1996,4,11,November,46,14,3,Thursday,False
97,1996-11-15 00:00:00,1996,4,11,November,46,15,4,Friday,False
98,1996-11-18 00:00:00,1996,4,11,November,47,18,0,Monday,False
99,1996-11-19 00:00:00,1996,4,11,November,47,19,1,Tuesday,False
100,1996-11-20 00:00:00,1996,4,11,November,47,20,2,Wednesday,False
101,1996-11-21 00:00:00,1996,4,11,November,47,21,3,Thursday,False
102,1996-11-22 00:00:00,1996,4,11,November,47,22,4,Friday,False
103,1996-11-25 00:00:00,1996,4,11,November,48,25,0,Monday,False
104,1996-11-26 00:00:00,1996,4,11,November,48,26,1,Tuesday,False
105,1996-11-27 00:00:00,1996,4,11,November,48,27,2,Wednesday,False
106,1996-11-28 00:00:00,1996,4,11,November,48,28,3,Thursday,False
107,1996-11-29 00:00:00,1996,4,11,November,48,29,4,Friday,False
108,1996-12-02 00:00:00,1996,4,12,December,49,2,0,Monday,False
109,1996-12-03 00:00:00,1996,4,12,December,49,3,1,Tuesday,False
110,1996-12-04 00:00:00,1996,4,12,December,49,4,2,Wednesday,False
111,1996-12-05 00:00:00,1996,4,12,December,49,5,3,Thursday,False
112,1996-12-06 00:00:00,1996,4,12,December,49,6,4,Friday,False
113,1996-12-09 00:00:00,1996,4,12,December,50,9,0,Monday,False
114,1996-12-10 00:00:00,1996,4,12,December,50,10,1,Tuesday,False
115,1996-12-11 00:00:00,1996,4,12,December,50,11,2,Wednesday,False
116,1996-12-12 00:00:00,1996,4,12,December,50,12,3,Thursday,False
117,1996-12-13 00:00:00,1996,4,12,December,50,13,4,Friday,False
118,1996-12-16 00:00:00,1996,4,12,December,51,16,0,Monday,False
119,1996-12-17 00:00:00,1996,4,12,December,51,17,1,Tuesday,False
120,1996-12-18 00:00:00,1996,4,12,December,51,18,2,Wednesday,False
121,1996-12-19 00:00:00,1996,4,12,December,51,19,3,Thursday,False
122,1996-12-20 00:00:00,1996,4,12,December,51,20,4,Friday,False
123,1996-12-23 00:00:00,1996,4,12,December,52,23,0,Monday,False
124,1996-12-24 00:00:00,1996,4,12,December,52,24,1,Tuesday,False
125,1996-12-25 00:00:00,1996,4,12,December,52,25,2,Wednesday,False
126,1996-12-26 00:00:00,1996,4,12,December,52,26,3,Thursday,False
127,1996-12-27 00:00:00,1996,4,12,December,52,27,4,Friday,False
128,1996-12-30 00:00:00,1996,4,12,December,1,30,0,Monday,False
129,1996-12-31 00:00:00,1996,4,12,December,1,31,1,Tuesday,False
130,1997-01-01 00:00:00,1997,1,1,January,1,1,2,Wednesday,False
131,1997-01-02 00:00:00,1997,1,1,January,1,2,3,Thursday,False
132,1997-01-03 00:00:00,1997,1,1,January,1,3,4,Friday,False
133,1997-01-06 00:00:00,1997,1,1,January,2,6,0,Monday,False
