OrderID,ProductID,UnitPrice,Quantity,Discount,DataSource,CustomerID,EmployeeID,OrderDate,RequiredDate,ShippedDate,ShipVia,Freight,ShipName,ShipAddress,ShipCity,ShipRegion,ShipPostalCode,ShipCountry,DataSource_Order,SalesAmount,GrossAmount,DiscountAmount,DaysToShip,IsLateDelivery,IsHighFreight,SalesKey
10248,11,14.0,12.0,0.0,SQLServer,VINET,5,1996-07-04 00:00:00,1996-08-01,1996-07-16,3.0,32.38,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,,51100,France,SQLServer,168.0,168.0,0.0,12.0,False,False,1
10248,42,9.8,10.0,0.0,SQLServer,VINET,5,1996-07-04 00:00:00,1996-08-01,1996-07-16,3.0,32.38,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,,51100,France,SQLServer,98.0,98.0,0.0,12.0,False,False,2
10248,72,34.8,5.0,0.0,SQLServer,VINET,5,1996-07-04 00:00:00,1996-08-01,1996-07-16,3.0,32.38,Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,,51100,France,SQLServer,174.0,174.0,0.0,12.0,False,False,3
10249,14,18.6,9.0,0.0,SQLServer,TOMSP,6,1996-07-05 00:00:00,1996-08-16,1996-07-10,1.0,11.61,Toms Spezialitäten,Luisenstr. 48,Münster,,44087,Germany,SQLServer,167.4,167.4,0.0,5.0,False,False,4
10249,51,42.4,40.0,0.0,SQLServer,TOMSP,6,1996-07-05 00:00:00,1996-08-16,1996-07-10,1.0,11.61,Toms Spezialitäten,Luisenstr. 48,Münster,,44087,Germany,SQLServer,1696.0,1696.0,0.0,5.0,False,False,5
10250,41,7.7,10.0,0.0,SQLServer,HANAR,4,1996-07-08 00:00:00,1996-08-05,1996-07-12,2.0,65.83,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,RJ,05454-876,Brazil,SQLServer,77.0,77.0,0.0,4.0,False,False,6
10250,51,42.4,35.0,0.15000000596046448,SQLServer,HANAR,4,1996-07-08 00:00:00,1996-08-05,1996-07-12,2.0,65.83,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,RJ,05454-876,Brazil,SQLServer,1261.4,1484.0,222.6,4.0,False,False,7
10250,65,16.8,15.0,0.15000000596046448,SQLServer,HANAR,4,1996-07-08 00:00:00,1996-08-05,1996-07-12,2.0,65.83,Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,RJ,05454-876,Brazil,SQLServer,214.2,252.0,37.8,4.0,False,False,8
10251,22,16.8,6.0,0.05000000074505806,SQLServer,VICTE,3,1996-07-08 00:00:00,1996-08-05,1996-07-15,1.0,41.34,Victuailles en stock,"2, rue du Commerce",Lyon,,69004,France,SQLServer,95.76,100.8,5.04,7.0,False,False,9
10251,57,15.6,15.0,0.05000000074505806,SQLServer,VICTE,3,1996-07-08 00:00:00,1996-08-05,1996-07-15,1.0,41.34,Victuailles en stock,"2, rue du Commerce",Lyon,,69004,France,SQLServer,222.3,234.0,11.7,7.0,False,False,10
