OrderID,DaysToShip,SalesAmount,ShipCountry
10264,30.0,695.62,Sweden
10271,29.0,48.0,USA
10280,29.0,613.2,Sweden
10302,29.0,2708.8,Belgium
10309,34.0,1762.0,Ireland
10320,15.0,516.0,Finland
10380,35.0,1313.82,Ireland
10423,32.0,1020.0,Brazil
10427,35.0,651.0,Austria
10433,29.0,851.2,Portugal
10451,21.0,3849.66,Germany
10483,32.0,668.8,USA
10515,30.0,9921.3,Germany
10523,29.0,2444.31,UK
10545,35.0,210.0,USA
10578,31.0,477.0,UK
10593,35.0,1994.3999999999999,Germany
10596,32.0,1180.88,USA
10660,37.0,1701.0,USA
10663,23.0,1930.4,France
10687,30.0,4960.9,Ireland
10705,34.0,378.0,Venezuela
10709,34.0,3424.0,Brazil
10726,32.0,655.0,UK
10727,32.0,1624.5,Italy
10749,29.0,1080.0,UK
10777,37.0,224.0,Brazil
10779,29.0,1335.0,Germany
10807,30.0,18.4,Italy
10816,29.0,8446.45,USA
10827,25.0,843.0,France
10828,22.0,932.0,Argentina
10847,19.0,4931.92,USA
10924,35.0,1835.7,Sweden
10927,34.0,800.0,France
10960,20.0,265.35,Venezuela
10970,31.0,224.0,Spain
