Country,TotalSales,OrderCount,TotalFreight
USA,313721.58,162,48597.82
Germany,230284.59,122,38170.75
Austria,128003.83,40,27731.44
Brazil,106925.77,83,14582.98
France,81358.31,77,12626.58
UK,58971.31,56,8490.53
Venezuela,56810.62,46,7872.4400000000005
Sweden,54495.12,37,10146.12
Canada,50196.28,30,6321.9
Ireland,49979.91,19,7214.49
Belgium,33824.85,19,4271.03
Denmark,32661.02,18,4286.48
Switzerland,31692.64,18,3913.02
Mexico,23582.07,28,3229.51
Finland,18810.05,22,2874.09
Spain,17983.2,23,2419.25
Italy,15770.15,28,2108.89
Portugal,11472.36,13,1749.53
Argentina,8119.1,16,1772.67
Norway,5735.150000000001,6,897.05
Poland,3531.95,7,461.53000000000003
