YearMonth,TotalSales,OrderCount,TotalQuantity
1996-07,27861.89,22,1462.0
1996-08,25485.28,25,1322.0
1996-09,26381.4,23,1124.0
1996-10,37515.72,26,1738.0
1996-11,45600.04,25,1735.0
1996-12,45239.63,31,2200.0
1997-01,61258.07,33,2401.0
1997-02,38483.63,29,2132.0
1997-03,38547.21,30,1770.0
1997-04,53032.95,31,1912.0
1997-05,53781.28,32,2164.0
1997-06,36362.79,30,1635.0
1997-07,51020.83,33,2054.0
1997-08,47287.66,33,1861.0
1997-09,55629.24,37,2343.0
1997-10,66749.22,38,2679.0
1997-11,43533.79,34,1856.0
1997-12,71398.42,48,2682.0
1998-01,94222.1,55,3466.0
1998-02,99415.28,54,3115.0
1998-03,104854.14,73,4065.0
1998-04,123798.67,74,4680.0
1998-05,18333.62,14,921.0
2006-01,3836.0,4,225.0
2006-02,2241.5,3,230.0
2006-03,32609.25,8,1092.0
2006-04,19355.25,13,985.0
2006-05,1788.5,4,95.0
2006-06,8306.5,8,315.0
