ProductID,SalesAmount,Quantity,ProductName,CategoryName
38,141396.73,623.0,Côte de Blaye,Beverages
29,80368.66,746.0,Thüringer Rostbratwurst,Meat/Poultry
59,71155.7,1496.0,Raclette Courdavault,Dairy Products
43,53426.7,1230.0,Ipoh Coffee,Beverages
62,47234.96,1083.0,Tarte au sucre,Confections
60,46825.48,1577.0,Camembert Pierrot,Dairy Products
51,43939.65,926.0,Manjimup Dried Apples,Produce
56,42973.06,1273.0,Gnocchi di nonna Alice,Grains/Cereals
17,34258.38,1018.0,Alice Mutton,Meat/Poultry
18,29171.88,539.0,Carnarvon Tigers,Seafood
72,28032.13,896.0,Mozzarella di Giovanni,Dairy Products
20,25803.36,353.0,Sir Rodney's Marmalade,Confections
28,25696.64,640.0,Rössle Sauerkraut,Produce
7,23244.3,803.0,Uncle Bob's Organic Dried Pears,Produce
64,21957.96,740.0,Wimmers gute Semmelknödel,Grains/Cereals
69,21942.36,714.0,Gudbrandsdalsost,Dairy Products
10,20867.34,742.0,Ikura,Seafood
53,20574.17,722.0,Perth Pasties,Meat/Poultry
40,20118.63,1223.0,Boston Crab Meat,Seafood
26,19849.13,753.0,Gumbär Gummibärchen,Confections
